,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
519,DevOps Engineer (Kenya) at Parvana Recruitment,Kenya,Permanent Senior position,Parvana Strategic Sourcing,Undisclosed,,01 Dec 2022,12 Dec 2022,11,10,https://www.careerjunction.co.za/devops-engineer-kenya-at-parvana-recruitment-job-2492390.aspx
520,HR Operations Manager at Michael Page South Africa Limited,"Johannesburg Region, Gauteng",Permanent Management position,Michael Page International,R Undisclosed,,29 Nov 2022,11 Dec 2022,12,9,https://www.careerjunction.co.za/hr-operations-manager-at-michael-page-south-africa-limited-job-2492213.aspx
521,Project Management Accountant,"Centurion, Gauteng
 / Work From Home",Permanent Senior position,Kwena Human Capital,Undisclosed,,29 Nov 2022,06 Dec 2022,7,4,https://www.careerjunction.co.za/project-management-accountant-job-2490916.aspx
522,Procurement Officer,"Denver, Gauteng",Permanent Intermediate position,Ark Human Capital (Pty) Ltd,"R25,000 - R30,000 per month",25000.0,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/procurement-officer-job-2494394.aspx
523,Test Automation Analyst,"Johannesburg Region, Gauteng",Permanent Senior position,Optimal Growth Technologies,Undisclosed,,27 Nov 2022,22 Dec 2022,25,20,https://www.careerjunction.co.za/test-automation-analyst-job-2493199.aspx
524,HR Administrator,"Cape Town Region, Western Cape",Temporary Junior position,,R Undisclosed,,01 Dec 2022,27 Dec 2022,26,25,https://www.careerjunction.co.za/hr-administrator-job-2493665.aspx
525,Solutions Architect,"Durban (Durban CBD), KwaZulu-Natal",Permanent Intermediate position,Elite Search and Selection,"R45,000 - R70,000 per month",45000.0,24 Nov 2022,05 Dec 2022,11,3,https://www.careerjunction.co.za/solutions-architect-job-2491376.aspx
526,Development Manager D365,"Bellville, Western Cape",Permanent Senior position,Kwena Human Capital,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,33,https://www.careerjunction.co.za/development-manager-d365-job-2494892.aspx
527,General Accounting: Team Lead,"Gauteng, South Africa",Permanent Management position,talentCRU (RPO),R Undisclosed,,01 Dec 2022,04 Jan 2023,34,33,https://www.careerjunction.co.za/general-accounting-team-lead-job-2494891.aspx
528,2x Solutions Developer (Implementation and Support at Abantu Staffing Solutions,"Durban Region, KwaZulu-Natal",Permanent Intermediate position,Abantu Staffing Solutions,R Undisclosed,,25 Nov 2022,25 Dec 2022,30,23,https://www.careerjunction.co.za/2x-solutions-developer-implementation-and-support-at-abantu-staffing-solutions-job-2494100.aspx
529,IT Project Manager,"Bryanston, Gauteng",Permanent Management position,Merchants SA,R Undisclosed,,29 Nov 2022,15 Dec 2022,16,13,https://www.careerjunction.co.za/it-project-manager-job-2492287.aspx
