,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
69,Machine Learning Op's Engineer,"Cape Town CBD, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/machine-learning-op-s-engineer-job-2493505.aspx
70,INTEGRATION ENGINEER,"Pretoria, Gauteng",Permanent Senior position,Secondments,R Undisclosed,,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/integration-engineer-job-2494831.aspx
71,Mid to Senior Data Engineer,"Johannesburg, Gauteng",Permanent Senior position,ProApp HR Solutions,"R60,000 - R85,000 per month",60000.0,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/mid-to-senior-data-engineer-job-2493557.aspx
72,Dialer support and design engineer. at Nutun,"Sandown, Gauteng",Permanent Specialist EE position,Nutun,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/dialer-support-and-design-engineer-at-nutun-job-2494786.aspx
73,Senior Python Engineer,"Cape Town CBD, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/senior-python-engineer-job-2493514.aspx
74,IOS Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/ios-engineer-job-2493512.aspx
75,Senior Frontend Engineer,"Cape Town CBD, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/senior-frontend-engineer-job-2491290.aspx
76,Senior Python Engineer,"Woodstock, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/senior-python-engineer-job-2493513.aspx
77,Desktop Support Engineer at iLaunch,"Garden Route, Western Cape",Permanent Intermediate position,iLaunch,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/desktop-support-engineer-at-ilaunch-job-2492575.aspx
78,Senior Support Engineer at iLaunch,"Garden Route, Western Cape",Permanent Intermediate position,iLaunch,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/senior-support-engineer-at-ilaunch-job-2492570.aspx
79,Software Engineer (GUI) at NRF National Research Foundation,"Observatory, Western Cape",Permanent Specialist position,National Research Foundation,R Undisclosed,,03 Dec 2022,08 Dec 2022,5,4,https://www.careerjunction.co.za/software-engineer-gui-at-nrf-national-research-foundation-job-2493992.aspx
80,Software Engineer,"Cape Town Region, Western Cape",Permanent Specialist EE position,IT Empowerment Consulting,Undisclosed,,03 Dec 2022,29 Dec 2022,26,25,https://www.careerjunction.co.za/software-engineer-job-2494026.aspx
81,Software Engineer at Headhunters,"Eastern Cape, South Africa",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,03 Dec 2022,16 Dec 2022,13,12,https://www.careerjunction.co.za/software-engineer-at-headhunters-job-2492817.aspx
82,Process Engineer - Bulk Material Handling - Durban,"Ocean View (The Bluff), KwaZulu-Natal",Permanent Specialist position,Kwena Human Capital,Undisclosed,,03 Dec 2022,29 Dec 2022,26,25,https://www.careerjunction.co.za/process-engineer-bulk-material-handling-durban-job-2494015.aspx
83,Process Engineer,"Durban (Durban CBD), KwaZulu-Natal",Permanent Senior position,Milton Resourcing (Pty) Ltd,"R58,300 - R75,000 per month",58300.0,03 Dec 2022,24 Dec 2022,21,20,https://www.careerjunction.co.za/process-engineer-job-2494019.aspx
84,Junior Information Security Engineer at SA Taxi Development Finance,"Midrand, Gauteng",Permanent Senior position,SA Taxi Development Finance,Undisclosed,,30 Nov 2022,25 Dec 2022,25,21,https://www.careerjunction.co.za/junior-information-security-engineer-at-sa-taxi-development-finance-job-2493435.aspx
85,Mechanical Project Design Engineer (Ireland: Data Centres),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,30 Nov 2022,09 Dec 2022,9,5,https://www.careerjunction.co.za/mechanical-project-design-engineer-ireland-data-centres-job-2493479.aspx
86,Lead Data Engineer,"Cape Town, Western Cape",Permanent Intermediate position,Hewitt Colenbrander Recruitment,R Undisclosed,,30 Nov 2022,20 Dec 2022,20,16,https://www.careerjunction.co.za/lead-data-engineer-job-2493551.aspx
87,AWS Cloud Engineer at Parvana Recruitment,"Cape Town, Western Cape",Permanent Senior position,Parvana Strategic Sourcing,R Undisclosed,,30 Nov 2022,20 Dec 2022,20,16,https://www.careerjunction.co.za/aws-cloud-engineer-at-parvana-recruitment-job-2493563.aspx
