,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
289,Internal Sales,"Boksburg, Gauteng",Permanent Senior position,Ark Human Capital (Pty) Ltd,"R12,000 - R15,000 per month",12000.0,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/internal-sales-job-2493634.aspx
290,IOS Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/ios-engineer-job-2493512.aspx
291,Reservations Supervisor,"Durban Region, KwaZulu-Natal",Permanent Senior position,MPC Recruitment (MPC Recruitment),R Undisclosed,,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/reservations-supervisor-job-2491274.aspx
292,Customer Journey Manager at The Focus Group,"Cape Town Region, Western Cape",Permanent Senior EE position,The Focus Group,R Undisclosed,,01 Dec 2022,04 Dec 2022,3,0,https://www.careerjunction.co.za/customer-journey-manager-at-the-focus-group-job-2491269.aspx
293,Junior / Trainee Regulatory/Registrations Administrator - Agricultural,"Delmas, Mpumalanga",Permanent Intermediate position,Talentsphere,R Undisclosed,,03 Dec 2022,14 Dec 2022,11,10,https://www.careerjunction.co.za/junior-trainee-regulatory-registrations-administrator-agricultural-job-2492727.aspx
294,Business Analyst SAP EAM,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,28 Nov 2022,27 Dec 2022,29,23,https://www.careerjunction.co.za/business-analyst-sap-eam-job-2494342.aspx
295,Senior Java Developer - Sandton - Up to R750 per hour at e-Merge IT Recruitment,"Sandown, Gauteng",Contract Senior position,e-Merge IT Recruitment,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/senior-java-developer-sandton-up-to-r750-per-hour-at-e-merge-it-recruitment-job-2494924.aspx
296,Hydraulic Fitter at Assmang Mines,"Northern Cape, South Africa",Permanent Intermediate position,Assmang Manganese,R Undisclosed,,01 Dec 2022,13 Dec 2022,12,9,https://www.careerjunction.co.za/hydraulic-fitter-at-assmang-mines-job-2494865.aspx
297,SQL Database Administrator,"Brackenfell, Western Cape",Permanent Senior position,DCV Sabenza IT and Recruitment,Undisclosed,,28 Nov 2022,14 Dec 2022,16,10,https://www.careerjunction.co.za/sql-database-administrator-job-2492153.aspx
298,Plant Energy Manager at Headhunters,"Eastern Cape, South Africa",Permanent Senior position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/plant-energy-manager-at-headhunters-job-2494632.aspx
299,Integration Developer (E-Commerce) at Parvana Recruitment,"Cape Town, Western Cape",Permanent Senior position,Parvana Strategic Sourcing,R Undisclosed,,29 Nov 2022,27 Dec 2022,28,23,https://www.careerjunction.co.za/integration-developer-e-commerce-at-parvana-recruitment-job-2494488.aspx
300,Developer - Python / PHP at Parvana Recruitment,"Cape Town, Western Cape",Permanent Senior position,Parvana Strategic Sourcing,R Undisclosed,,29 Nov 2022,27 Dec 2022,28,23,https://www.careerjunction.co.za/developer-python-php-at-parvana-recruitment-job-2494484.aspx
301,Client Services Administrator at Rand Mutual Assurance,"Johannesburg Region, Gauteng",Permanent Intermediate position,Rand Mutual Administration,R Undisclosed,,03 Dec 2022,23 Dec 2022,20,19,https://www.careerjunction.co.za/client-services-administrator-at-rand-mutual-assurance-job-2493898.aspx
302,Senior Automation Quality Engineer at Old Mutual Finance,"Cape Town CBD, Western Cape",Permanent Senior position,Old Mutual (Finance),Undisclosed,,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/senior-automation-quality-engineer-at-old-mutual-finance-job-2492621.aspx
303,Commercial Manager at Westfalia Fruit (Pty) Ltd,"Midrand, Gauteng",Permanent Management position,Westfalia Fruit,R Undisclosed,,29 Nov 2022,15 Dec 2022,16,11,https://www.careerjunction.co.za/commercial-manager-at-westfalia-fruit-pty-ltd-job-2492211.aspx
304,Healthcare Analyst Advanced Analytics,"Cape Town CBD, Western Cape",Permanent Intermediate position,Che Leigh Personnel Consultants,R00 per month,0.0,27 Nov 2022,13 Dec 2022,16,9,https://www.careerjunction.co.za/healthcare-analyst-advanced-analytics-job-2491944.aspx
305,Artificial Intelligence and Machine Learning Senior Specialist - Randburg - up to R960k per annum,"Randburg, Gauteng",Permanent Senior position,e-Merge IT Recruitment,"R80,000 per month",80000.0,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/artificial-intelligence-and-machine-learning-senior-specialist-randburg-up-to-r960k-per-annum-job-2495026.aspx
306,Application Database Specialist,"Cape Town, Western Cape",Permanent Intermediate position,wePlace,R Undisclosed,,02 Dec 2022,31 Dec 2022,29,27,https://www.careerjunction.co.za/application-database-specialist-job-2495020.aspx
307,Systems Analyst,"Sandown, Gauteng",Contract Intermediate position,Paradigm Recruitment,R300.00 - R400.00 per hour,48000.0,28 Nov 2022,01 Jan 2023,34,28,https://www.careerjunction.co.za/systems-analyst-job-2494200.aspx
308,Branch Manager / Pest Operations Manager  at Headhunters,"Johannesburg Region, Gauteng",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,02 Dec 2022,01 Jan 2023,30,28,https://www.careerjunction.co.za/branch-manager-pest-operations-manager-at-headhunters-job-2495017.aspx
309,Test Analyst,"Pretoria CBD, Gauteng",Contract Senior position,Tipp Focus,R Undisclosed,,28 Nov 2022,14 Dec 2022,16,10,https://www.careerjunction.co.za/test-analyst-job-2492124.aspx
310,Senior Full Stack Engineer,"Woodstock, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/senior-full-stack-engineer-job-2494979.aspx
